,stem,audio_path,audio_exists
0,swing_that_music,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 20 - Swing That Music.flac,True
1,wrap_your_troubles_in_dreams,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD4/Disc 4 - 09 - Wrap Your Troubles in Dreams.flac,True
2,tricroism,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD3/Disc 3 - 11 - Tricroism.flac,True
3,blues_for_alice,/Users/jordan/Documents/data/JAAH/Extra Songs//Charlie Parker Quintet - Blues for Alice.mp3,False
4,dinah,/Users/jordan/Documents/data/JAAH/SmithsonianCollectionOfClassicJazz/Volume 2/19 - Quintette Of The Hot Club Of France - Dinah.flac,True
5,dinah_red_nichols,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 2/03 - Red Nichols And His Five Pennies - Dinah.flac,True
6,lost_your_head_blues,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 1/04 - Bessie Smith - Lost Your Head Blues.flac,True
7,ko-ko(ellington),/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD2/Disc 2 - 07 - Ko-Ko.flac,True
8,moanin,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD4/Disc 4 - 01 - Moanin'.flac,True
9,lester_leaps_in,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 2/22 - Count Basie's Kansas City Seven - Lester Leaps In.flac,True
10,thats_a_serious_thing,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 13 - That's a Serious Thing.flac,True
11,the_stampede,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 05 - The Stampede.flac,True
12,black_and_tan_fantasy,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 09 - Black and Tan Fantasy.flac,True
13,my_favorite_things,"/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD4/Disc 4 - 10 - My Favorite Things, Part 1 (Single Version).flac",True
14,singin_the_blues,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD1/Disc 1 - 07 - Singin' the Blues (Til My Daddy Comes Home).flac,True
15,four_brothers,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD2/Disc 2 - 19 - Four Brothers.flac,True
16,dexter_rides_again,/Users/jordan/Documents/data/JAAH//Jazz_ The Smithsonian Anthology/CD2/Disc 2 - 15 - Dexter Rides Again.flac,True
17,diminuendo_and_crescendo_in_blue,/Users/jordan/Documents/data/JAAH//SmithsonianCollectionOfClassicJazz/Volume 3/03 - Duke Ellington And His Famous Orchestra - Diminuendo In Blue & Crescendo In Blue.flac,True
